0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.0,1543.19,1535.31,2547.4,3135.66,3092.51,3374.7,3379.07,3379.07,3490.74,3284.99,3407.19,3527.86,2094.49,1608.88,1887.5,1564.18,2272.72,1667.19,1424.32,1103.55,1232.55,1589.73,1630.2,1418.59,1268.95,1916.04,1907.54,2012.88,1760.68,726.89,1457.65,1377.82,1147.41,1209.0,1582.51,1265.6,1455.38,1455.38,1093.79,1857.65,893.95,899.07,254.84,845.48,876.69,703.86,2094.38
1606.75,0.0,667.68,1692.97,2281.22,2238.08,2520.26,2524.63,2524.63,2636.3,2430.55,2552.76,2673.42,2215.93,1539.11,1912.94,1494.42,2298.16,1692.63,1375.21,1819.19,1948.18,2305.37,2345.84,2134.22,1984.58,2546.12,2494.32,2642.96,2347.46,1209.28,1924.81,1959.33,1728.92,1790.51,1755.66,1847.12,2015.72,2015.72,1613.54,1883.08,1569.77,1431.81,1464.39,1378.23,1347.43,1939.67,2215.82
1527.16,681.61,0.0,1330.89,1919.14,1876.0,2158.18,2162.55,2162.55,2274.23,2068.47,2190.68,2311.34,2215.83,1539.01,1912.84,1494.31,2071.36,1692.53,1375.1,2123.07,2252.07,2609.25,2649.72,2438.11,2288.47,2850.0,2798.21,2946.84,2651.34,1129.69,1845.22,1879.74,1649.33,1710.92,1755.56,1767.53,1936.14,1936.14,1533.95,1882.98,1490.18,1352.22,1384.8,1298.64,1267.84,1949.63,2215.72
2488.88,1673.13,1360.74,0.0,843.85,800.71,1082.89,1087.26,1087.26,1198.93,993.18,1115.39,1236.05,3207.34,2530.52,2346.65,2485.83,1952.12,2110.09,2366.62,3114.59,3243.58,3600.77,3641.24,3429.62,3279.98,3841.52,3789.73,3938.36,3642.86,2109.0,2806.94,2841.47,2611.05,2672.65,2747.07,2729.25,2897.86,2897.86,2495.67,2315.65,2451.9,2313.95,2346.52,2260.36,2229.56,2911.35,3207.23
3132.36,2316.6,2004.22,868.34,0.0,136.99,456.73,476.31,476.31,587.98,382.23,504.43,625.1,3442.87,2766.05,2455.77,2721.36,2061.24,2219.21,3010.1,3758.07,3887.06,4244.25,4284.72,4073.1,3923.46,4485.0,4433.2,4581.84,4286.34,2752.48,3450.42,3217.41,3254.53,3316.12,2982.6,3236.04,3541.34,3541.34,3139.15,2424.77,3095.38,2957.43,2990.0,2903.84,2873.04,3554.83,3442.76
3089.22,2273.46,1961.08,825.19,136.99,0.0,384.53,433.17,433.17,544.84,339.08,461.29,581.96,3361.5,2684.68,2374.4,2639.99,1979.88,2137.84,2966.95,3714.93,3843.92,4201.1,4241.58,4029.96,3880.32,4441.85,4390.06,4538.7,4243.19,2709.34,3407.28,3136.04,3187.75,3272.98,2901.23,3154.68,3498.19,3498.19,3096.01,2343.4,3052.24,2914.28,2946.86,2860.7,2829.89,3511.69,3361.39
3416.4,2600.65,2288.26,1152.38,458.0,385.79,0.0,93.74,93.74,205.42,120.55,320.51,397.24,3534.95,2858.13,2547.85,2813.43,2153.32,2311.28,3294.14,4042.11,4171.11,4528.29,4568.76,4357.15,4207.5,4769.04,4717.25,4865.88,4570.38,3036.52,3734.46,3309.49,3361.19,3496.66,3074.68,3328.12,3825.38,3825.38,3423.2,2516.85,3379.42,3241.47,3274.04,3187.88,3157.08,3838.88,3534.83
3470.59,2654.84,2342.45,1206.57,512.19,439.98,93.74,0.0,0.0,209.79,124.92,324.88,401.61,3539.31,2862.49,2552.21,2817.8,2157.69,2315.65,3348.33,4096.3,4225.3,4582.48,4622.95,4411.33,4261.69,4823.23,4771.44,4920.07,4624.57,3090.72,3788.65,3313.85,3365.56,3501.03,3079.04,3332.49,3853.74,3853.74,3469.34,2521.22,3433.61,3295.66,3328.23,3242.07,3211.27,3893.06,3539.2
3470.59,2654.84,2342.45,1206.57,512.19,439.98,93.74,0.0,0.0,209.79,124.92,324.88,401.61,3539.31,2862.49,2552.21,2817.8,2157.69,2315.65,3348.33,4096.3,4225.3,4582.48,4622.95,4411.33,4261.69,4823.23,4771.44,4920.07,4624.57,3090.72,3788.65,3313.85,3365.56,3501.03,3079.04,3332.49,3853.74,3853.74,3469.34,2521.22,3433.61,3295.66,3328.23,3242.07,3211.27,3893.06,3539.2
3582.27,2766.51,2454.13,1318.24,623.86,551.65,205.42,209.79,209.79,0.0,236.6,436.55,513.28,3650.99,2974.17,2663.89,2929.48,2269.36,2427.32,3460.0,4207.98,4336.97,4694.15,4734.63,4523.01,4373.37,4934.9,4883.11,5031.75,4736.24,3202.39,3900.33,3425.53,3477.24,3612.7,3190.72,3444.16,3965.41,3965.41,3581.01,2632.89,3545.29,3407.33,3439.91,3353.75,3322.95,4004.74,3650.88
3379.64,2563.88,2251.5,1115.61,538.4,466.19,119.96,124.32,124.32,236.0,0.0,230.2,306.93,3444.64,2767.82,2457.54,2723.12,2063.01,2220.97,3257.38,4005.35,4134.34,4491.52,4532.0,4320.38,4170.74,4732.27,4680.48,4829.12,4533.61,2999.76,3697.7,3219.18,3270.88,3406.35,2984.37,3237.81,3759.06,3759.06,3374.66,2426.54,3342.66,3204.7,3237.28,3151.12,3120.31,3802.11,3444.52
3356.04,2540.28,2227.9,1092.02,537.43,494.29,348.28,352.64,352.64,464.32,258.57,0.0,356.84,3421.04,2744.22,2433.94,2699.52,2039.41,2197.38,3233.78,3981.75,4110.74,4467.93,4508.4,4296.78,4147.14,4708.68,4656.88,4805.52,4510.02,2976.16,3674.1,3195.58,3247.28,3382.75,2960.77,3214.21,3735.46,3735.46,3351.06,2402.94,3319.06,3181.1,3213.68,3127.52,3096.72,3778.51,3420.93
3475.33,2659.57,2347.19,1211.31,656.72,613.58,392.73,397.1,397.1,508.77,303.02,325.9,0.0,3540.33,2863.51,2553.23,2818.82,2158.7,2316.67,3353.07,4101.04,4230.03,4587.22,4627.69,4416.07,4266.43,4827.97,4776.17,4924.81,4629.31,3095.45,3793.39,3314.87,3366.58,3502.04,3080.06,3333.5,3854.75,3854.75,3470.35,2522.23,3438.35,3300.4,3332.97,3246.81,3216.01,3897.8,3540.22
2097.52,2125.29,2179.4,3204.68,3309.45,3228.08,3305.82,3310.19,3310.19,3421.87,3216.11,3338.32,3458.99,0.0,1281.99,1624.09,1247.44,2009.31,1403.78,1853.47,2803.09,2932.08,3289.26,3329.74,3118.12,2968.48,3097.66,2772.92,2962.47,2626.05,1888.39,1022.81,1474.6,1217.63,1245.13,1244.06,1209.18,1188.15,1188.15,1564.82,1594.23,1754.84,1875.38,2011.16,1687.87,1646.28,2255.14,0.11
1671.03,1596.95,1651.06,2676.34,2781.11,2699.75,2777.49,2781.85,2781.85,2893.53,2687.77,2809.98,2930.65,1242.38,0.0,1095.75,161.65,1480.97,875.44,1325.13,2320.59,2449.59,2806.77,2847.25,2635.63,2485.99,3176.38,3124.58,3273.22,2977.72,1424.25,1810.76,1234.63,1286.34,1326.27,751.02,1186.56,1719.56,1719.56,1390.12,1065.9,1709.75,1496.09,1528.67,1442.51,1500.94,2093.5,1242.27
1874.58,1898.52,1952.62,2355.8,2369.13,2287.76,2365.5,2369.86,2369.86,2481.54,2275.78,2397.99,2518.66,1663.65,986.83,0.0,942.14,1068.98,340.03,1626.7,2524.15,2653.15,3010.33,3050.8,2839.19,2689.54,3379.94,3328.14,3476.78,3181.27,1627.81,2232.03,1438.19,1489.9,1625.36,1203.38,1456.82,1978.07,1978.07,1593.67,105.04,1913.3,1699.65,1732.22,1646.06,1704.5,2297.05,1663.54
1581.77,1507.7,1561.8,2587.09,2678.72,2597.35,2675.09,2679.46,2679.46,2791.13,2585.38,2707.58,2828.25,1182.08,161.65,993.35,0.0,1378.57,773.04,1235.88,2231.34,2360.33,2717.52,2757.99,2546.37,2396.73,3087.12,3035.33,3183.97,2888.46,1335.0,1750.46,1145.38,1197.08,1265.97,692.95,1128.5,1659.26,1659.26,1300.86,963.5,1620.49,1406.84,1439.41,1353.25,1411.69,2004.24,1181.97
2258.1,2282.04,2049.27,1968.08,1981.41,1900.04,1977.78,1982.15,1982.15,2093.82,1888.06,2010.27,2130.94,2047.17,1370.34,1060.06,1325.65,0.0,823.5,2010.21,2907.67,3036.66,3393.85,3434.32,3222.7,3073.06,3763.45,3711.66,3860.29,3564.79,2011.32,2615.55,1821.7,1873.41,2008.88,1586.9,1840.34,2361.59,2361.59,1977.19,1029.07,2296.82,2083.17,2115.74,2029.58,2088.01,2680.57,2047.05
1675.98,1699.92,1754.03,2095.67,2109.0,2027.63,2105.37,2109.73,2109.73,2221.41,2015.65,2137.86,2258.53,1465.05,788.23,364.86,743.54,808.85,0.0,1428.1,2325.55,2454.55,2811.73,2852.2,2640.59,2490.95,3181.34,3129.54,3278.18,2982.67,1429.21,2033.43,1239.59,1291.3,1426.76,1004.78,1258.22,1779.47,1779.47,1395.07,333.86,1714.7,1501.05,1533.62,1447.46,1505.9,2098.46,1464.94
1288.81,1298.96,1353.06,2378.35,2966.6,2923.46,3205.64,3210.01,3210.01,3321.68,3115.93,3238.14,3358.8,1938.53,1261.71,1635.54,1217.02,2020.76,1415.23,0.0,1938.38,2067.37,2424.56,2465.03,2253.41,2103.77,2794.16,2742.37,2891.0,2595.5,994.56,1696.11,1273.75,1325.46,1460.93,1401.15,1395.29,1787.02,1787.02,1136.6,1605.69,1273.96,1082.82,1146.45,1060.29,1118.72,1711.28,1938.42
1173.17,1871.87,2095.93,3121.21,3709.47,3666.32,3948.51,3952.88,3952.88,4064.55,3858.79,3981.0,4101.67,2864.5,2273.21,2551.84,2228.52,2937.05,2331.53,2088.66,0.0,514.16,587.02,627.49,382.92,266.23,1331.78,1339.11,1109.73,1342.71,1391.23,2227.66,2181.22,2004.92,2066.51,2246.84,2123.11,2312.89,2312.89,1818.24,2521.98,1751.46,1563.4,1117.86,1509.82,1609.56,1208.33,2864.39
1317.47,2016.17,2240.22,3265.51,3853.76,3810.62,4092.8,4097.17,4097.17,4208.85,4003.09,4125.3,4245.96,3008.8,2417.51,2696.14,2372.82,3081.35,2475.83,2232.95,532.07,0.0,1030.69,1071.16,834.06,709.9,1681.27,1633.87,1553.4,1487.0,1535.53,2371.96,2325.51,2149.21,2210.8,2391.14,2267.41,2457.18,2457.18,1962.54,2666.28,1895.76,1707.7,1262.16,1654.11,1753.85,1352.63,3008.69
1682.48,2381.18,2605.23,3630.52,4218.77,4175.63,4457.81,4462.18,4462.18,4573.86,4368.1,4490.31,4610.97,3373.81,2782.52,3061.15,2737.83,3446.36,2840.84,2597.96,703.72,1098.8,0.0,310.84,641.88,626.47,1025.66,1033.0,803.62,1133.61,1900.54,2736.97,2690.52,2514.22,2575.81,2756.15,2632.42,2822.19,2822.19,2327.55,3031.29,2260.77,2072.71,1627.17,2019.13,2118.86,1717.64,3373.7
